M,m,k_star,s_min,analytic_s_min,s_min_abs_error,F_min_tau0_3,plane_concave_L_over_R,P_noise_at_boundary,ER_sum_dB_at_boundary,eta_sort_at_boundary
23,11,0.4782608695652174,0.04347826086956452,0.043478260869565216,6.938893903907228e-16,69.0,0.9953429730181653,0.08955401115487471,10.479149571805033,0.9178067262035484
24,1,0.041666666666666664,0.04166666666666663,0.041666666666666664,3.469446951953614e-17,72.0,0.01703708685546585,0.08957060296949249,10.4783450220128,0.9177927499829945
24,5,0.20833333333333334,0.041666666666666075,0.041666666666666664,5.898059818321144e-16,72.0,0.37059047744873963,0.08957060296949249,10.4783450220128,0.9177927499829945
24,7,0.2916666666666667,0.041666666666666075,0.041666666666666664,5.898059818321144e-16,72.0,0.6294095225512604,0.08957060296949249,10.4783450220128,0.9177927499829945
24,11,0.4583333333333333,0.04166666666666563,0.041666666666666664,1.033895191682177e-15,72.0,0.9829629131445341,0.08957060296949249,10.4783450220128,0.9177927499829945
25,1,0.04,0.039999999999999925,0.04,7.632783294297951e-17,75.0,0.015708419435684445,0.08958524473453222,10.477635155395806,0.9177804167526527
25,2,0.08,0.0399999999999999,0.04,1.0408340855860843e-16,75.0,0.06184665997806821,0.08958524473453222,10.477635155395806,0.9177804167526527
25,3,0.12,0.0399999999999997,0.04,2.983724378680108e-16,75.0,0.1355156862892942,0.08958524473453222,10.477635155395806,0.9177804167526527
25,4,0.16,0.039999999999999813,0.04,1.8735013540549517e-16,75.0,0.23208660251050173,0.08958524473453222,10.477635155395806,0.9177804167526527
25,6,0.24,0.03999999999999937,0.04,6.314393452555578e-16,75.0,0.4686047402353432,0.08958524473453222,10.477635155395806,0.9177804167526527
25,7,0.28,0.03999999999999915,0.04,8.534839501805891e-16,75.0,0.5936906572928623,0.08958524473453222,10.477635155395806,0.9177804167526527
25,8,0.32,0.03999999999999959,0.04,4.0939474033052647e-16,75.0,0.7128896457825363,0.08958524473453222,10.477635155395806,0.9177804167526527
25,9,0.36,0.03999999999999915,0.04,8.534839501805891e-16,75.0,0.818711994874345,0.08958524473453222,10.477635155395806,0.9177804167526527
25,11,0.44,0.03999999999999915,0.04,8.534839501805891e-16,75.0,0.9648882429441256,0.08958524473453222,10.477635155395806,0.9177804167526527
25,12,0.48,0.03999999999999915,0.04,8.534839501805891e-16,75.0,0.9960573506572389,0.08958524473453222,10.477635155395806,0.9177804167526527
26,1,0.038461538461538464,0.038461538461538436,0.038461538461538464,2.7755575615628914e-17,78.0,0.014529091286973989,0.08959823045418158,10.477005674759692,0.9177694787400361
26,3,0.11538461538461539,0.0384615384615381,0.038461538461538464,3.608224830031759e-16,78.0,0.12574462591444946,0.08959823045418158,10.477005674759692,0.9177694787400361
