model,strategy,l,shift_w0,w_input_over_w_cav,analysis_basis_over_w_cav,retained_power,target_overlap_power,p0_modal_weight,p1_modal_weight,leakage_modal_weight,dominant_p
bolduc,scaled_w0,4,0.0,0.4472135954999579,1.0,1.0000000000000004,0.05292214940134447,0.05292214940134446,0.11760477644743389,0.9470778505986556,3
bolduc,scaled_w0,5,0.0,0.4082482904638631,1.0,0.9999999999999999,0.013806734390006266,0.01380673439000627,0.042265513438795775,0.9861932656099938,5
bolduc,scaled_w0,6,0.0,0.3779644730092272,1.0,0.9999999999999997,0.003067936748266216,0.0030679367482662175,0.01208000094630041,0.9969320632517338,7
bolduc,scaled_w0,7,0.0,0.35355339059327373,1.0,1.0,0.0005933619257852109,0.0005933619257852109,0.002871578702568677,0.9994066380742148,8
bolduc,scaled_w0,8,0.0,0.3333333333333333,1.0,0.9999999999999997,0.00010155995666841902,0.00010155995666841905,0.0005849853504137064,0.9998984400433316,8
bolduc,scaled_w0,0,0.08,1.0,1.0,0.9999997745543399,0.9936200465961816,0.9936202706035594,1.0155356201920472e-05,0.006379729396440603,0
bolduc,scaled_w0,1,0.08,0.7071067811865475,1.0,0.9999999999979003,0.7767389171341745,0.7767389171358055,0.1667548261940528,0.22326108286419455,0
bolduc,scaled_w0,2,0.08,0.5773502691896258,1.0,1.0000000000000002,0.4098698091704167,0.4098698091704167,0.2985706924049555,0.5901301908295833,0
bolduc,scaled_w0,3,0.08,0.5,1.0,1.0,0.16101351696168517,0.16101351696168517,0.22552283902115847,0.8389864830383148,1
bolduc,scaled_w0,4,0.08,0.4472135954999579,1.0,1.0000000000000002,0.05015915773907855,0.05015915773907855,0.10848042704011869,0.9498408422609215,3
bolduc,scaled_w0,5,0.08,0.4082482904638631,1.0,1.0,0.01292121270426849,0.01292121270426849,0.03850567241278213,0.9870787872957315,4
bolduc,scaled_w0,6,0.08,0.3779644730092272,1.0,0.9999999999999999,0.0028346992557314286,0.0028346992557314304,0.010866887302903827,0.9971653007442686,7
bolduc,scaled_w0,7,0.08,0.35355339059327373,1.0,0.9999999999999999,0.0005412377106008377,0.0005412377106008379,0.0025502693575535844,0.9994587622893991,8
