detuning_from_l0_peak_mhz,T_l0_exp_rising_smooth,T_l9_exp_rising_smooth,T_overlap_min_exp_rising_smooth
89.63727037174976,0.6996386924309627,0.6514909895801747,0.6514909895801747
90.0881566467433,0.6978870776796412,0.6498829291427636,0.6498829291427636
90.53904292173684,0.6961354629283197,0.6482748687053527,0.6482748687053527
90.98992919673037,0.6943838481769985,0.6466668082679417,0.6466668082679417
91.44081547172391,0.692632233425677,0.6450587478305307,0.6450587478305307
91.89170174671744,0.6908806186743557,0.6434506873931197,0.6434506873931197
92.34258802171098,0.6891290039230343,0.6418426269557088,0.6418426269557088
92.79347429670452,0.6873773891717129,0.6402345665182978,0.6402345665182978
93.24436057169805,0.6856257744203915,0.6386265060808869,0.6386265060808869
93.69524684669159,0.6838741596690702,0.6370184456434759,0.6370184456434759
94.14613312168512,0.6821225449177488,0.635410385206065,0.635410385206065
94.59701939667866,0.6803709301664274,0.633802324768654,0.633802324768654
95.0479056716722,0.6786193154151059,0.632194264331243,0.632194264331243
95.49879194666573,0.6768677006637845,0.6305862038938319,0.6305862038938319
95.94967822165927,0.6751160859124631,0.6289781434564211,0.6289781434564211
96.4005644966528,0.6733644711611417,0.6273700830190102,0.6273700830190102
96.85145077164634,0.6716128564098204,0.6257620225815992,0.6257620225815992
97.30233704663988,0.669861241658499,0.6241539621441882,0.6241539621441882
97.75322332163341,0.6681096269071776,0.6225459017067771,0.6225459017067771
98.20410959662695,0.6663580121558562,0.6209378412693662,0.6209378412693662
98.65499587162049,0.6646063974045349,0.6193297808319552,0.6193297808319552
99.10588214661402,0.6628547826532134,0.6177217203945444,0.6177217203945444
99.55676842160756,0.661103167901892,0.6161136599571334,0.6161136599571334
100.0076546966011,0.6593515531505707,0.6145055995197225,0.6145055995197225
100.45854097159463,0.6575999383992492,0.6128975390823115,0.6128975390823115
100.90942724658817,0.6558483236479278,0.6112894786449006,0.6112894786449006
101.3603135215817,0.6540967088966064,0.6096814182074894,0.6096814182074894
101.81119979657524,0.6523450941452851,0.6080733577700785,0.6080733577700785
102.26208607156877,0.6505934793939636,0.6064652973326676,0.6064652973326676
102.71297234656231,0.6488418646426424,0.6048572368952566,0.6048572368952566
103.16385862155585,0.6470902498913209,0.6032491764578457,0.6032491764578457
103.61474489654938,0.6453386351399996,0.6016411160204347,0.6016411160204347
104.06563117154292,0.6435870203886781,0.6000330555830238,0.6000330555830238
104.51651744653645,0.6418354056373567,0.5984249951456128,0.5984249951456128
104.96740372152999,0.6400837908860354,0.5968169347082017,0.5968169347082017
105.41828999652353,0.6383321761347138,0.5952088742707908,0.5952088742707908
105.86917627151706,0.6365805613833926,0.5936008138333799,0.5936008138333799
106.3200625465106,0.6348289466320711,0.5919927533959689,0.5919927533959689
106.77094882150413,0.6330773318807498,0.590384692958558,0.590384692958558
107.22183509649767,0.6313257171294283,0.588776632521147,0.588776632521147
107.6727213714912,0.629574102378107,0.5871685720837361,0.5871685720837361
108.12360764648474,0.6278224876267856,0.585560511646325,0.585560511646325
108.57449392147828,0.6260708728754641,0.583952451208914,0.583952451208914
109.02538019647181,0.6243192581241429,0.5823443907715031,0.5823443907715031
109.47626647146535,0.6225676433728214,0.5807363303340922,0.5807363303340922
109.92715274645889,0.6208160286215001,0.5791282698966812,0.5791282698966812
110.37803902145242,0.6190644138701786,0.5775202094592703,0.5775202094592703
110.82892529644596,0.6173127991188572,0.5759121490218593,0.5759121490218593
111.2798115714395,0.6155611843675358,0.5743040885844484,0.5743040885844484
111.73069784643303,0.6138095696162145,0.5726960281470374,0.5726960281470374
112.18158412142657,0.6120579548648931,0.5710879677096263,0.5710879677096263
112.6324703964201,0.6103063401135717,0.5694799072722154,0.5694799072722154
113.08335667141364,0.6085547253622503,0.5678718468348044,0.5678718468348044
113.53424294640718,0.6068031106109288,0.5662637863973935,0.5662637863973935
113.98512922140071,0.6050528487823115,0.5646599660697521,0.5646599660697521
114.43601549639425,0.6033084649817586,0.5630745338759708,0.5630745338759708
114.88690177138778,0.6015750300834131,0.5615121793402912,0.5615121793402912
115.33778804638132,0.5998575415554014,0.5599679424500167,0.5599679424500167
115.78867432137486,0.5981510520734511,0.5584418232051472,0.5584418232051472
116.23956059636839,0.5964555114937082,0.5569358014854793,0.5569358014854793
116.69044687136193,0.5947709198161729,0.5554542700440529,0.5554542700440529
117.14133314635546,0.5931014208307241,0.5539908562480318,0.5539908562480318
117.592219421349,0.591443774569584,0.5525455600974156,0.5525455600974156
118.04310569634254,0.5897970772106512,0.5511189488518611,0.5511189488518611
118.49399197133607,0.5881613287539259,0.549718240504688,0.549718240504688
118.94487824632961,0.5865398193110402,0.5483356498029199,0.5483356498029199
119.39576452132314,0.5849293218244546,0.54696331386514,0.54696331386514
119.84665079631668,0.5833216757008225,0.5455934848500691,0.5455934848500691
120.29753707131022,0.5817140295771902,0.5442236558349982,0.5442236558349982
120.74842334630375,0.580106383453558,0.5428538268199273,0.5428538268199273
121.19930962129729,0.5784987373299257,0.5414839978048565,0.5414839978048565
121.65019589629082,0.5768910912062937,0.5401141687897855,0.5401141687897855
122.10108217128436,0.5752834450826616,0.5387443397747146,0.5387443397747146
