detuning_from_l0_peak_mhz,T_l0_exp_rising_raw,T_l9_exp_rising_raw,T_overlap_min_exp_rising_raw
116.69044687136193,0.5942695782499353,0.5544671528721569,0.5544671528721569
117.14133314635546,0.5926627584798376,0.5530856424004785,0.5530856424004785
117.592219421349,0.5910559387097399,0.5517176111318632,0.5517176111318632
118.04310569634254,0.5894491189396422,0.5503495798632481,0.5503495798632481
118.49399197133607,0.5878422991695444,0.5489815485946328,0.5489815485946328
118.94487824632961,0.5862354793994466,0.5476135173260175,0.5476135173260175
119.39576452132314,0.584628659629349,0.5462454860574023,0.5462454860574023
119.84665079631668,0.5830218398592512,0.544877454788787,0.544877454788787
120.29753707131022,0.5814150200891536,0.5435094235201717,0.5435094235201717
120.74842334630375,0.5798082003190558,0.5421413922515564,0.5421413922515564
121.19930962129729,0.578201380548958,0.5407733609829412,0.5407733609829412
121.65019589629082,0.5765945607788602,0.5394053297143259,0.5394053297143259
122.10108217128436,0.5749877410087625,0.5380372984457108,0.5380372984457108
122.5519684462779,0.5733809212386647,0.5366692671770955,0.5366692671770955
123.00285472127143,0.571774101468567,0.5353012359084801,0.5353012359084801
123.45374099626497,0.5701672816984692,0.5339332046398649,0.5339332046398649
123.9046272712585,0.5685604619283714,0.5325651733712496,0.5325651733712496
124.35551354625204,0.5669536421582737,0.5311971421026345,0.5311971421026345
124.80639982124558,0.565346822388176,0.5298291108340191,0.5298291108340191
125.25728609623911,0.5637400026180781,0.5284610795654039,0.5284610795654039
125.70817237123265,0.5621331828479804,0.5270930482967887,0.5270930482967887
126.15905864622619,0.5605263630778826,0.5257250170281733,0.5257250170281733
126.60994492121972,0.5589195433077849,0.5243569857595581,0.5243569857595581
127.06083119621326,0.5573127235376872,0.5229889544909428,0.5229889544909428
127.5117174712068,0.5557059037675894,0.5216209232223277,0.5216209232223277
127.96260374620033,0.5540990839974916,0.5202528919537123,0.5202528919537123
128.41349002119387,0.5524922642273938,0.5188848606850971,0.5188848606850971
128.8643762961874,0.5508854444572963,0.5175168294164818,0.5175168294164818
129.31526257118094,0.5492786246871983,0.5161487981478664,0.5161487981478664
129.76614884617447,0.5476718049171007,0.5147807668792512,0.5147807668792512
130.217035121168,0.5460649851470029,0.5134127356106359,0.5134127356106359
130.66792139616155,0.5444581653769052,0.5120447043420209,0.5120447043420209
131.11880767115508,0.5428513456068073,0.5106766730734055,0.5106766730734055
131.56969394614862,0.5412445258367097,0.5093086418047902,0.5093086418047902
132.02058022114215,0.5396377060666119,0.5079406105361749,0.5079406105361749
132.4714664961357,0.5380308862965141,0.5065725792675598,0.5065725792675598
132.92235277112923,0.5364240665264163,0.5052045479989444,0.5052045479989444
133.37323904612276,0.5348172467563186,0.5038365167303291,0.5038365167303291
133.8241253211163,0.5332104269862209,0.502468485461714,0.502468485461714
134.27501159610983,0.5316036072161231,0.5011004541930987,0.5011004541930987
134.72589787110337,0.5299967874460254,0.49973242292448344,0.49973242292448344
135.1767841460969,0.5283899676759276,0.49836439165586816,0.49836439165586816
135.62767042109044,0.5267831479058299,0.4969963603872529,0.4969963603872529
136.07855669608398,0.525176328135732,0.49562832911863763,0.49562832911863763
136.52944297107751,0.5235695083656343,0.49426029785002235,0.49426029785002235
136.98032924607105,0.5219626885955365,0.49289226658140717,0.49289226658140717
137.4312155210646,0.5203558688254388,0.49152423531279177,0.49152423531279177
137.88210179605812,0.518749049055341,0.4901562040441766,0.4901562040441766
138.33298807105166,0.5171422292852433,0.48878817277556125,0.48878817277556125
138.7838743460452,0.5155354095151455,0.4874201415069462,0.4874201415069462
139.23476062103873,0.5139285897450478,0.4860521102383308,0.4860521102383308
