detuning_from_l0_peak_mhz,detuning_from_l0_peak_fsr,T_l0,T_l9,T_overlap_min
251.892194211483,0.025403946816122135,0.2734054549205986,0.3111543129703527,0.2734054549205986
252.51025646924973,0.025466279913717752,0.2724328608512753,0.30999987291803865,0.2724328608512753
253.12831872701645,0.02552861301131337,0.2714648037333178,0.3088508898997258,0.2714648037333178
253.74638098478317,0.025590946108908982,0.2705012605124981,0.3077073376832889,0.2705012605124981
254.3644432425499,0.0256532792065046,0.26954220822674313,0.30656919010085293,0.26954220822674313
254.98250544071198,0.02571561229808894,0.26858762409832776,0.30543642115917397,0.26858762409832776
255.6005676984787,0.025777945395684558,0.2676374851664039,0.30430900460454835,0.2676374851664039
256.2186299562454,0.02584027849328017,0.2666917688396575,0.30318691457957864,0.2666917688396575
256.83669221401215,0.02590261159087579,0.265750452527941,0.302070125186969,0.265750452527941
257.45475447177887,0.025964944688471405,0.2648135137348209,0.300958610600267,0.2648135137348209
258.0728167295456,0.026027277786067022,0.2638809300578363,0.29985234506506697,0.2638809300578363
258.6908789873123,0.026089610883662635,0.262952679188738,0.2987513029001768,0.262952679188738
259.30894124507904,0.026151943981258252,0.2620287389137122,0.2976554584987484,0.2620287389137122
259.92700350284576,0.02621427707885387,0.2611090871135873,0.29656478632937283,0.2611090871135873
260.5450657606125,0.026276610176449486,0.2601937017640243,0.29547926093714094,0.2601937017640243
261.1631280183792,0.0263389432740451,0.25928256093569174,0.29439885694466994,0.25928256093569174
261.78119027614594,0.026401276371640716,0.25837564279442526,0.2933235490530966,0.25837564279442526
262.39925253391266,0.026463609469236333,0.25747292560137147,0.29225331204303745,0.25747292560137147
263.0173147916794,0.02652594256683195,0.25657438771311797,0.29118812077551753,0.25657438771311797
263.6353770494461,0.026588275664427563,0.25568000758180814,0.2901279501928669,0.25568000758180814
264.25343930721283,0.02665060876202318,0.2547897637552425,0.28907277531958725,0.2547897637552425
264.87150156497955,0.026712941859618797,0.2539036348769659,0.2880225712631876,0.2539036348769659
265.4895638227463,0.026775274957214414,0.2530215996863415,0.2869773132149904,0.2530215996863415
266.107626080513,0.026837608054810027,0.25214363701861137,0.28593697645090915,0.25214363701861137
266.7256883382797,0.026899941152405644,0.2512697258049445,0.2849015363321969,0.2512697258049445
267.34375059604645,0.02696227425000126,0.2503998450724724,0.28387096830616754,0.2503998450724724
267.9618127942085,0.027024607341585603,0.24953397402762234,0.28284524800557465,0.24953397402762234
268.57987505197525,0.027086940439181216,0.2486720917225039,0.28182435085407276,0.2486720917225039
269.197937309742,0.027149273536776833,0.24781417755592333,0.2808082526603649,0.24781417755592333
269.8159995675087,0.02721160663437245,0.24696021093897555,0.2797969292226791,0.24696021093897555
270.4340618252754,0.027273939731968067,0.24611017137871732,0.2787903564285102,0.24611017137871732
271.05212408304214,0.02733627282956368,0.24526403847813358,0.27778851025518475,0.24526403847813358
271.67018634080887,0.027398605927159297,0.24442179193609304,0.27679136677040245,0.24442179193609304
272.2882485985756,0.027460939024754914,0.2435834115472939,0.27579890213275327,0.2435834115472939
272.9063108563423,0.02752327212235053,0.24274887720219895,0.27481109259221187,0.24274887720219895
273.52437311410904,0.027585605219946144,0.24191816888696147,0.2738279144906091,0.24191816888696147
274.14243537187576,0.02764793831754176,0.24109126668334083,0.27284934426208185,0.24109126668334083
274.7604976296425,0.027710271415137377,0.24026815076860975,0.27187535843350014,0.24026815076860975
275.3785598874092,0.02777260451273299,0.23944880141545144,0.2709059336248743,0.23944880141545144
275.99662214517593,0.027834937610328608,0.23863319899184882,0.2699410465497401,0.23863319899184882
276.61468440294266,0.027897270707924225,0.23782132396096442,0.2689806740155245,0.23782132396096442
277.2327466607094,0.02795960380551984,0.23701315688101207,0.26802479292389075,0.23701315688101207
