rank,region_id,k,L_over_R,candidate_set_size,max_subset_size,subset_modes,s_min,F_min,F_eval_used,avg_ER_sum_dB,min_ER_sum_dB,avg_separation_efficiency,min_separation_efficiency,geometry_gap_to_target,feasible_under_budget,tau_min_at_budget,is_max_subset_for_k,max_subset_size_for_k,subset_size_gap_to_k_max,k_region_start,k_region_end,region_point_count
87,R352,0.27999999999999997,0.5936906572928622,12,6,"[6,10,15,18,27,37]",0.1200000000000001,24.99999999999998,32.0,15.068596664963772,13.599498139357042,0.9692712026275809,0.9581695486534592,0.09369065729286219,True,3.8400000000000034,True,6,0,0.2796533333333333,0.2803533333333333,29
88,R354,0.27999999999999997,0.5936906572928622,12,6,"[6,10,18,22,27,37]",0.1200000000000001,24.99999999999998,32.0,14.885907123790046,13.599498139357042,0.9680638252919112,0.9581695486534592,0.09369065729286219,True,3.8400000000000034,True,6,0,0.2796533333333333,0.2803533333333333,29
89,R270,0.27902,0.5906646727826588,12,6,"[1,6,18,27,40,46]",0.11821999999999994,25.376416849940803,32.0,15.062016542913957,13.991456673961517,0.9695206119779737,0.9616409976902511,0.09066467278265877,True,3.783039999999998,True,6,0,0.27902,0.27962,25
90,R315,0.21567999999999998,0.3930142028908705,12,6,"[4,6,10,22,37,40]",0.11743999999999977,25.544959128065447,32.0,14.446627932678538,13.201261234130692,0.9645127100574906,0.9543358763772262,0.10698579710912948,True,3.7580799999999925,True,6,0,0.21497999999999998,0.2170133333333333,82
91,R307,0.2557933333333333,0.518196274466329,12,6,"[4,18,27,37,40,46]",0.11675333333333349,25.695197853023434,32.0,15.11758229792332,13.878743185476939,0.969507295413103,0.9606720910772082,0.018196274466328988,True,3.7361066666666716,True,6,0,0.2557933333333333,0.2567933333333333,41
92,R310,0.2557933333333333,0.518196274466329,12,6,"[4,22,27,37,40,46]",0.11675333333333349,25.695197853023434,32.0,15.127397836311793,13.83323128393679,0.9693781629632526,0.9602742456332065,0.018196274466328988,True,3.7361066666666716,True,6,0,0.2557933333333333,0.2567933333333333,41
93,R246,0.2790533333333333,0.5907676545490623,12,6,"[1,6,10,18,27,40]",0.1162133333333335,25.81459385039005,32.0,14.763701805200583,13.999091500438738,0.9673948505719973,0.9617057928715316,0.09076765454906233,True,3.718826666666672,True,6,0,0.27902,0.27962,25
94,R019,0.2790533333333333,0.5907676545490623,12,6,"[1,10,18,27,31,40]",0.11621333333333261,25.814593850390246,32.0,14.76311854308109,14.004269791038809,0.9674085973167607,0.9617496801197922,0.09076765454906233,True,3.7188266666666436,True,6,0,0.27902,0.27962,25
95,R034,0.2873266666666666,0.6161931158420915,12,6,"[1,18,27,31,37,40]",0.1154466666666677,25.986025293064387,32.0,14.878911659786562,14.100229108114599,0.9682427676338955,0.9625542689546497,0.11619311584209147,True,3.6942933333333663,True,6,0,0.2873266666666666,0.28856,50
96,R020,0.2873266666666666,0.6161931158420915,12,6,"[1,10,18,27,37,40]",0.11544666666666714,25.98602529306451,32.0,14.566875425946106,13.5690785166688,0.9659577906665556,0.957887905874298,0.11619311584209147,True,3.6942933333333485,True,6,0,0.2873266666666666,0.28856,50
97,R298,0.2873266666666666,0.6161931158420915,12,6,"[4,10,15,27,37,40]",0.11544666666666714,25.98602529306451,32.0,14.918228712270503,13.553035456348008,0.9680495852216157,0.9577386404729681,0.11619311584209147,True,3.6942933333333485,True,6,0,0.2873266666666666,0.28856,50
98,R303,0.2873266666666666,0.6161931158420915,12,6,"[4,10,22,27,37,40]",0.11544666666666714,25.98602529306451,32.0,14.934007248256682,13.549863668262825,0.9680698108551268,0.9577090701876069,0.11619311584209147,True,3.6942933333333485,True,6,0,0.2873266666666666,0.28856,50
99,R258,0.26925333333333334,0.560338709892942,12,6,"[1,6,15,22,40,46]",0.11522666666666659,26.035639898171738,32.0,14.915490058289924,14.09113225235487,0.9685440873594549,0.9624786979215435,0.06033870989294199,True,3.687253333333331,True,6,0,0.26875333333333334,0.27232,141
100,R336,0.26922,0.5602347541307281,12,6,"[4,6,18,27,37,46]",0.1151800000000005,26.046188574405164,32.0,14.766342861811415,13.30504209307566,0.9667450167992345,0.9553660232747738,0.060234754130728096,True,3.685760000000016,True,6,0,0.26848,0.2697866666666667,54
101,R063,0.26922,0.5602347541307281,12,6,"[1,4,10,18,37,46]",0.11490000000000111,26.10966057441228,32.0,14.527336673430915,13.193296271299761,0.9652498429805365,0.9542558860035187,0.060234754130728096,True,3.6768000000000356,True,6,0,0.26875333333333334,0.2697866666666667,43
102,R174,0.26922,0.5602347541307281,12,6,"[1,4,6,18,37,46]",0.11490000000000111,26.10966057441228,32.0,14.763462996148318,13.30543977846572,0.9667247053540623,0.955369927839176,0.060234754130728096,True,3.6768000000000356,True,6,0,0.26875333333333334,0.26985333333333333,46
103,R226,0.26922,0.5602347541307281,12,6,"[1,4,6,37,40,46]",0.11490000000000111,26.10966057441228,32.0,14.994911458391725,14.481409976610562,0.9690455829283436,0.9655925177772142,0.060234754130728096,True,3.6768000000000356,True,6,0,0.26875333333333334,0.26985333333333333,46
104,R295,0.22952,0.4358375967645604,12,6,"[4,10,15,22,40,46]",0.11440000000000028,26.22377622377616,32.0,14.280334141779159,13.413207068589042,0.9635103043032202,0.9564160921316137,0.06416240323543959,True,3.660800000000009,True,6,0,0.22885333333333333,0.23018666666666668,55
105,R127,0.25505999999999995,0.5158937809665946,12,6,"[1,4,18,31,37,46]",0.11338000000000159,26.459693067560046,32.0,15.15411432152122,14.299709293276173,0.9700183747443872,0.9641751003636457,0.01589378096659455,True,3.628160000000051,True,6,0,0.25505999999999995,0.25576,29
106,R133,0.25505999999999995,0.5158937809665946,12,6,"[1,4,22,31,37,46]",0.11338000000000159,26.459693067560046,32.0,15.073511482921873,14.262715811739957,0.9693230742055867,0.9638797077026856,0.01589378096659455,True,3.628160000000051,True,6,0,0.25505999999999995,0.25576,29
107,R299,0.28297999999999995,0.6028698175207898,12,6,"[4,10,15,27,37,46]",0.11277999999999921,26.600461074658813,32.0,15.061254005452374,13.207566419425124,0.9687380151136677,0.9543991035076099,0.10286981752078983,True,3.608959999999975,True,6,0,0.28237999999999996,0.28297999999999995,35
108,R312,0.28297999999999995,0.6028698175207898,12,6,"[4,6,10,15,37,46]",0.11277999999999921,26.600461074658813,32.0,14.88735077905023,13.198100663897755,0.967526848426271,0.9543041514150815,0.10286981752078983,True,3.608959999999975,True,6,0,0.28237999999999996,0.28297999999999995,35
