family,N,parameter,k_star,lr_exact,lr_asymptotic,relative_error,L_exact_mm
fixed_m,31,8,0.258064516129,0.525324584419,0.657288950749,0.251205388523,13.133114610
fixed_m,32,1,0.031250000000,0.009607359798,0.009638285548,0.003218964440,0.240183995
fixed_m,32,2,0.062500000000,0.038060233744,0.038553142192,0.012950746722,0.951505844
fixed_m,32,4,0.125000000000,0.146446609407,0.154212568767,0.053029287546,3.661165235
fixed_m,32,8,0.250000000000,0.500000000000,0.616850275068,0.233700550136,12.500000000
fixed_r_to_half,32,1,0.468750000000,0.990392640202,0.990361714452,0.003218964440,24.759816005
fixed_r_to_half,32,2,0.437500000000,0.961939766256,0.961446857808,0.012950746722,24.048494156
fixed_r_to_half,32,4,0.375000000000,0.853553390593,0.845787431233,0.053029287546,21.338834765
fixed_r_to_half,32,8,0.250000000000,0.500000000000,0.383149724932,0.233700550136,12.500000000
fixed_m,33,1,0.030303030303,0.009035651369,0.009062997613,0.003026482954,0.225891284
fixed_m,33,2,0.060606060606,0.035816033492,0.036251990454,0.012172117331,0.895400837
fixed_m,33,4,0.121212121212,0.138132980947,0.145007961816,0.049770741362,3.453324524
fixed_m,33,8,0.242424242424,0.476209042088,0.580031847263,0.218019390644,11.905226052
fixed_m,34,1,0.029411764706,0.008513450158,0.008537720070,0.002850772794,0.212836254
fixed_m,34,2,0.058823529412,0.033763885298,0.034150880281,0.011461802436,0.844097132
fixed_m,34,4,0.117647058824,0.130495541390,0.136603521122,0.046806041552,3.262388535
fixed_m,34,8,0.235294117647,0.453865820268,0.546414084489,0.203911068179,11.346645507
fixed_r_to_half,34,1,0.470588235294,0.991486549842,0.991462279930,0.002850772794,24.787163746
fixed_r_to_half,34,2,0.441176470588,0.966236114702,0.965849119719,0.011461802436,24.155902868
fixed_r_to_half,34,4,0.382352941176,0.869504458610,0.863396478878,0.046806041552,21.737611465
fixed_r_to_half,34,8,0.264705882353,0.546134179732,0.453585915511,0.203911068179,13.653354493
fixed_m,35,1,0.028571428571,0.008035205701,0.008056819919,0.002689939670,0.200880143
fixed_m,35,2,0.057142857143,0.031882564680,0.032227279677,0.010812022193,0.797064117
fixed_m,35,4,0.114285714286,0.123464266998,0.128909118708,0.044100627998,3.086606675
fixed_m,35,8,0.228571428571,0.432883367091,0.515636474832,0.191167215080,10.822084177
fixed_m,36,1,0.027777777778,0.007596123494,0.007615435495,0.002542349501,0.189903087
fixed_m,36,2,0.055555555556,0.030153689607,0.030461741979,0.010216075566,0.753842240
fixed_m,36,4,0.111111111111,0.116977778441,0.121846967915,0.041624909783,2.924444461
fixed_m,36,8,0.222222222222,0.413175911167,0.487387871659,0.179613473309,10.329397779
fixed_r_to_half,36,1,0.472222222222,0.992403876506,0.992384564505,0.002542349501,24.810096913
fixed_r_to_half,36,2,0.444444444444,0.969846310393,0.969538258021,0.010216075566,24.246157760
fixed_r_to_half,36,4,0.388888888889,0.883022221559,0.878153032085,0.041624909783,22.075555539
fixed_r_to_half,36,8,0.277777777778,0.586824088833,0.512612128341,0.179613473309,14.670602221
fixed_m,37,1,0.027027027027,0.007192044826,0.007209353105,0.002406586656,0.179801121
fixed_m,37,2,0.054054054054,0.028561277269,0.028837412421,0.009668165361,0.714031932
fixed_m,37,4,0.108108108108,0.110982122841,0.115349649684,0.039353426763,2.774553071
fixed_m,37,8,0.216216216216,0.394660365002,0.461398598736,0.169102954470,9.866509125
fixed_m,38,1,0.026315789474,0.006819348299,0.006834906095,0.002281419810,0.170483707
