k,lr,mis_size,mis_set,prefix_size,best_consecutive_block_size,best_consecutive_block,gap_vs_prefix,gap_vs_best_consecutive
0.152777777778,0.213211781824,6,10 11 12 13 14 15,6,6,1-6,0,0
0.155555555556,0.220403548265,6,10 11 12 13 14 15,6,6,1-6,0,0
0.158333333333,0.227680482492,6,10 11 12 13 14 15,6,6,1-6,0,0
0.161111111111,0.235040367883,6,10 11 12 13 14 15,6,6,1-6,0,0
0.163888888889,0.242480962545,6,10 11 12 13 14 15,6,6,1-6,0,0
0.166666666667,0.250000000000,6,10 11 12 13 14 15,6,6,1-6,0,0
0.169444444444,0.257595189877,6,10 11 12 13 14 15,6,6,1-6,0,0
0.172222222222,0.265264218607,6,10 11 12 13 14 15,6,6,1-6,0,0
0.175000000000,0.273004750130,6,10 11 12 13 14 15,6,6,1-6,0,0
0.177777777778,0.280814426605,8,1 3 6 8 10 11 13 15,6,6,1-6,2,2
0.180555555556,0.288690869130,5,11 12 13 14 15,5,5,1-5,0,0
0.183333333333,0.296631678462,5,11 12 13 14 15,5,5,1-5,0,0
0.186111111111,0.304634435755,8,1 3 5 7 9 11 13 15,5,5,1-5,3,3
0.188888888889,0.312696703292,8,1 3 5 7 9 11 13 15,5,5,1-5,3,3
0.191666666667,0.320816025227,5,11 12 13 14 15,5,5,1-5,0,0
0.194444444444,0.328989928337,5,11 12 13 14 15,5,5,1-5,0,0
0.197222222222,0.337215922771,5,11 12 13 14 15,5,5,1-5,0,0
0.200000000000,0.345491502813,5,11 12 13 14 15,5,5,1-5,0,0
0.202777777778,0.353814147639,5,11 12 13 14 15,5,5,1-5,0,0
0.205555555556,0.362181322092,5,11 12 13 14 15,5,5,1-5,0,0
0.208333333333,0.370590477449,5,11 12 13 14 15,5,5,1-5,0,0
0.211111111111,0.379039052200,7,3 5 7 9 11 13 15,5,5,1-5,2,2
0.213888888889,0.387524472828,7,3 5 7 9 11 13 15,5,5,1-5,2,2
