q,m,k_fraction,has_zero_residue,exact_rho,predicted_rho_by_inverse_shell,inverse_pair,inverse_pair_hit,first_hit_inverse_shell_residues,first_hit_source_diffs,limiting_diffs_exact,prediction_matches_exact
74,19,19/74,False,1,1,"35,39",True,39,39,39,True
74,21,21/74,False,1,1,"7,67",True,7,7,7,True
75,16,16/75,False,1,1,"14,61",True,14,14,14,True
75,17,17/75,False,1,1,"22,53",True,22,22,22,True
75,19,19/75,False,1,1,"4,71",True,4,4,4,True
75,22,22/75,False,1,1,"17,58",True,17,17,17,True
76,17,17/76,False,1,1,"9,67",True,9,9,9,True
76,21,21/76,False,2,2,"29,47",False,18,18,18,True
77,16,16/77,False,1,1,"24,53",True,24,24,24,True
77,17,17/77,False,1,1,"9,68",True,9,9,9,True
77,18,18/77,False,1,1,"30,47",True,30,30,30,True
77,19,19/77,False,1,1,"4,73",True,4,4,4,True
77,20,20/77,False,1,1,"27,50",True,27,27,27,True
77,23,23/77,False,1,1,"10,67",True,10,10,10,True
78,17,17/78,False,1,1,"23,55",True,23,23,23,True
78,19,19/78,False,2,2,"37,41",False,4,4,4,True
78,23,23/78,False,1,1,"17,61",True,17,17,17,True
79,16,16/79,False,1,1,"5,74",True,5,5,5,True
79,17,17/79,False,1,1,"14,65",True,14,14,14,True
79,18,18/79,False,1,1,"22,57",True,22,22,22,True
79,19,19/79,False,1,1,"25,54",True,25,25,25,True
79,20,20/79,False,1,1,"4,75",True,4,4,4,True
79,21,21/79,False,1,1,"15,64",True,15,15,15,True
79,22,22/79,False,1,1,"18,61",True,18,18,18,True
79,23,23/79,False,1,1,"24,55",True,24,24,24,True
80,17,17/80,False,1,1,"33,47",True,33,33,33,True
80,19,19/80,False,1,1,"21,59",True,21,21,21,True
80,21,21/80,False,1,1,"19,61",True,19,19,19,True
80,23,23/80,False,1,1,"7,73",True,7,7,7,True
81,17,17/81,False,1,1,"19,62",True,19,19,19,True
81,19,19/81,False,1,1,"17,64",True,17,17,17,True
81,20,20/81,False,1,1,"4,77",True,4,4,4,True
81,22,22/81,False,1,1,"11,70",True,11,11,11,True
81,23,23/81,False,1,1,"7,74",True,7,7,7,True
82,17,17/82,False,2,2,"29,53",False,24,24,24,True
82,19,19/82,False,1,1,"13,69",True,13,13,13,True
82,21,21/82,False,1,1,"39,43",True,39,39,39,True
82,23,23/82,False,1,1,"25,57",True,25,25,25,True
83,17,17/83,False,1,1,"39,44",True,39,39,39,True
83,18,18/83,False,1,1,"23,60",True,23,23,23,True
83,19,19/83,False,2,2,"35,48",False,13,13,13,True
83,20,20/83,False,2,2,"29,54",False,25,25,25,True
83,21,21/83,False,1,1,"4,79",True,4,4,4,True
83,22,22/83,False,1,1,"34,49",True,34,34,34,True
83,23,23/83,False,1,1,"18,65",True,18,18,18,True
83,24,24/83,False,1,1,"38,45",True,45,45,45,True
84,17,17/84,False,1,1,"5,79",True,5,5,5,True
84,19,19/84,False,1,1,"31,53",True,31,31,31,True
84,23,23/84,False,1,1,"11,73",True,11,11,11,True
84,25,25/84,False,2,2,"37,47",False,10,10,10,True
85,18,18/85,False,1,1,"33,52",True,33,33,33,True
85,19,19/85,False,1,1,"9,76",True,9,9,9,True
85,21,21/85,False,1,1,"4,81",True,4,4,4,True
85,22,22/85,False,1,1,"27,58",True,27,27,27,True
85,23,23/85,False,2,2,"37,48",False,11,11,11,True
85,24,24/85,False,1,1,"39,46",True,39,39,39,True
86,19,19/86,False,1,1,"9,77",True,9,9,9,True
86,21,21/86,False,1,1,"41,45",True,45,45,45,True
86,23,23/86,False,1,1,"15,71",True,15,15,15,True
86,25,25/86,False,1,1,"31,55",True,31,31,31,True
87,19,19/87,False,2,2,"32,55",False,23,23,23,True
87,20,20/87,False,1,1,"13,74",True,13,13,13,True
87,22,22/87,False,1,1,"4,83",True,4,4,4,True
87,23,23/87,False,1,1,"34,53",True,34,34,34,True
87,25,25/87,False,1,1,"7,80",True,7,7,7,True
87,26,26/87,False,1,1,"10,77",True,10,10,10,True
88,19,19/88,False,2,2,"37,51",False,14,14,14,True
88,21,21/88,False,1,1,"21,67",True,21,21,21,True
88,23,23/88,False,1,1,"23,65",True,23,23,23,True
88,25,25/88,False,1,1,"7,81",True,7,7,7,True
89,18,18/89,False,1,1,"5,84",True,5,5,5,True
89,19,19/89,False,1,1,"14,75",True,14,14,14,True
89,20,20/89,False,1,1,"40,49",True,40,40,40,True
89,21,21/89,False,1,1,"17,72",True,17,17,17,True
89,22,22/89,False,1,1,"4,85",True,4,4,4,True
89,23,23/89,False,1,1,"31,58",True,31,31,31,True
89,24,24/89,False,1,1,"26,63",True,26,26,26,True
89,25,25/89,False,2,2,"32,57",False,25,25,25,True
89,26,26/89,False,1,1,"24,65",True,24,24,24,True
90,19,19/90,False,1,1,"19,71",True,19,19,19,True
90,23,23/90,False,2,2,"43,47",False,4,4,4,True
