Time_ms,Lambda_aligned,Power_uW,Scan_Direction,Power_smooth_uW,selected_peak_rank,selected_peak_label,is_active_selected_peak
147448,794.9983071626699,1.510000000000961,Falling,1.5061033017335674,0,,0
103918,794.9983085950644,1.4000000000008883,Rising,1.4374740111155961,0,,0
147148,794.9983787823943,1.3700000000007555,Falling,1.3737927427271424,0,,0
104218,794.9983802147888,1.2900000000007092,Rising,1.3149176201379684,0,,0
146848,794.9984504021186,1.2700000000006069,Falling,1.2584364171303783,0,,0
104518,794.9984518345132,1.190000000000567,Rising,1.209095782936127,0,,0
146548,794.998522021843,1.1700000000004844,Falling,1.1613161163783743,0,,0
104818,794.9985234542376,1.1100000000004586,Rising,1.1207021902586738,0,,0
146248,794.9985936415674,1.090000000000391,Falling,1.0809248120304535,0,,0
105118,794.998595073962,1.040000000000372,Rising,1.0474769532530341,0,,0
145948,794.9986652612918,1.0300000000003202,Falling,1.0144671461264907,0,,0
105418,794.9986666936863,0.9770000000003028,Rising,0.9865701209548342,0,,0
145648,794.9987368810162,0.9660000000002602,Falling,0.9572641386076364,0,,0
105718,794.9987383134107,0.9240000000002484,Rising,0.9324606080420661,0,,0
145348,794.9988085007406,0.9110000000002128,Falling,0.9069973847664654,0,,0
106018,794.9988099331351,0.8830000000002057,Rising,0.8860202680616394,0,,0
145048,794.998880120465,0.8730000000001766,Falling,0.8636910755150391,0,,0
