rank_by_ERmin_F87,k_fraction,k,q,m,s_min_fraction,s_min,F_min_tau0,L_over_R,geometry_gap_to_0p5,has_positive_s_min,ER_min_dB_F32p21,ER_mean_dB_F32p21,ER_worst_mode_F32p21,efficiency_min_F32p21,efficiency_mean_F32p21,ER_min_dB_F87,ER_mean_dB_F87,ER_worst_mode_F87,efficiency_min_F87,efficiency_mean_F87
80,13/62,0.20967741935483872,62,13,1/62,0.016129032258064516,186.0,0.3746737338706397,0.12532626612936032,True,1.3202989369951343,6.127578316485597,46,0.5754225166843457,0.7766941812601132,8.15119563504787,13.976557393788033,46,0.8672525938234356,0.9440356188895604
81,13/63,0.20634920634920634,63,13,1/63,0.015873015873015872,189.0,0.36457976592849745,0.13542023407150255,True,1.3493042109280506,6.391125675989909,6,0.5770533746799525,0.7901235351801156,8.102951648889373,14.412534578198331,6,0.8659684861628975,0.952594112884735
82,17/62,0.27419354838709675,62,17,1/62,0.016129032258064516,186.0,0.5757138887522882,0.07571388875228824,True,1.2452998789518426,6.826243074375828,15,0.5711980632079096,0.8009263895046842,8.09858086052646,14.888036447134269,15,0.865851631935806,0.954994801780861
83,14/59,0.23728813559322035,59,14,1/59,0.01694915254237288,177.0,0.4601069472234585,0.03989305277654148,True,0.9762586768585455,4.724889304555208,27,0.5559625098787796,0.7160163715879097,8.083668875092384,12.386430544398737,27,0.865452307849837,0.9244426965278162
84,11/46,0.2391304347826087,46,11,1/46,0.021739130434782608,138.0,0.4658787933176644,0.03412120668233559,True,0.6667273710688415,4.55121046909155,31,0.5383047108217515,0.7154957159993097,8.026450581630073,12.306837700101239,31,0.8639107501801611,0.92981934980283
85,11/47,0.23404255319148937,47,11,1/47,0.02127659574468085,141.0,0.44995215418795087,0.05004784581204913,True,0.7220506277381284,6.051475896579365,10,0.541469095824282,0.7479255039204666,8.025160907064436,14.065685440301303,10,0.8638758332982631,0.9370346820779191
86,19/74,0.25675675675675674,74,19,1/74,0.013513513513513514,222.0,0.5212206015980742,0.02122060159807415,True,2.1860813412880784,4.853461623014651,40,0.6232495176907675,0.7435595675325484,8.01008581119196,12.541499481207035,40,0.8634671275113467,0.938078372329826
87,13/64,0.203125,64,13,1/64,0.015625,192.0,0.3548576613727688,0.1451423386272312,True,1.283946115860659,5.387447853027505,27,0.5733762164677311,0.73899898803659,7.991829841325337,12.877670600834406,27,0.8629708014885837,0.9272850073555472
88,19/64,0.296875,64,19,1/64,0.015625,192.0,0.645142338627231,0.14514233862723103,True,1.2526156380346256,6.71723671021569,37,0.5716106034907446,0.7905759260641251,7.970959675087196,14.53793056839311,37,0.8624015447679609,0.9455283788449117
89,15/61,0.2459016393442623,61,15,1/61,0.01639344262295082,183.0,0.4871260431725057,0.012873956827494315,True,0.965658663650381,6.025083188412758,18,0.5553598859813176,0.7512724800583325,7.949990527174573,13.718451041170823,18,0.8618275878412484,0.9308500925878159
90,14/61,0.22950819672131148,61,14,1/61,0.01639344262295082,183.0,0.4358008224267245,0.06419917757327548,True,0.9352643988368641,5.791590264521531,27,0.5536310372273966,0.7598691764574771,7.943086750927398,13.743717402945675,27,0.8616381817657367,0.940003112109412
91,13/61,0.21311475409836064,61,13,1/61,0.01639344262295082,183.0,0.3851561289341021,0.11484387106589788,True,0.8847790548593875,5.600278237565695,18,0.5507565434304629,0.755696922071983,7.891454198783489,13.488585102637751,18,0.8602147174139554,0.9388877797588265
92,13/50,0.26,50,13,1/50,0.02,150.0,0.5313952597646567,0.031395259764656736,True,0.8365666086079815,5.797280744976284,4,0.5480082911426148,0.7581648375021727,7.882350277659437,13.753292455384221,4,0.8599624620593218,0.942309946287362
