Time_ms,Lambda_aligned,Power_uW,Scan_Direction,Power_smooth_uW,selected_peak_role,is_highest_peak,is_second_highest_peak
201497,794.9851439347916,15.7,Falling,15.941712978097089,,0,0
48906,794.9851754474703,15.400000000000002,Rising,15.12020268061427,,0,0
201197,794.985215554516,14.3,Falling,14.46569467146097,,0,0
49206,794.9852470671947,14.0,Rising,13.772889833278574,,0,0
200897,794.9852871742404,13.1,Falling,13.21446224256267,,0,0
49506,794.9853186869191,12.8,Rising,12.63268715266402,,0,0
200597,794.9853587939648,12.0,Falling,12.162883295194272,,0,0
49806,794.9853903066435,11.9,Rising,11.67409284079742,,0,0
200294,794.9854311298864,11.1,Falling,11.28919581562581,,0,0
50106,794.9854619263679,11.1,Rising,10.876230794377046,,0,0
199994,794.9855027496108,10.4,Falling,10.56022556390958,,0,0
50406,794.9855335460923,10.4,Rising,10.22622425629272,,0,0
199694,794.9855743693352,9.84,Falling,9.974223602484294,,0,0
50706,794.9856051658167,9.89,Rising,9.715707747629775,,0,0
199394,794.9856459890595,9.38,Falling,9.526815952925627,,0,0
51006,794.985676785541,9.5,Rising,9.33836220987235,,0,0
199094,794.985717608784,9.08,Falling,9.21858450473996,,0,0
51306,794.9857484052654,9.26,Rising,9.098185681595146,,0,0
198794,794.9857892285083,8.950000000000001,Falling,9.06006864988544,,0,0
51606,794.9858200249898,9.16,Rising,9.02541680287662,,0,0
198494,794.9858608482327,8.96,Falling,9.086188296828894,,0,0
51906,794.9858916447142,9.21,Rising,9.153072899640273,,0,0
198194,794.9859324679571,9.12,Falling,9.31904217064387,,0,0
52206,794.9859632644386,9.45,Rising,9.49662961752193,,0,0
197894,794.9860040876815,9.52,Falling,9.782585812356844,,0,0
52506,794.986034884163,9.98,Rising,10.061804511278055,,0,0
197594,794.9860757074059,10.1,Falling,10.424390323635029,,0,0
52806,794.9861065038874,10.7,Rising,10.74489702517147,,0,0
197294,794.9861473271303,10.9,Falling,11.11426610003253,,0,0
53106,794.9861781236118,11.5,Rising,11.392007191892604,,0,0
196994,794.9862189468547,11.6,Falling,11.666554429551963,,0,0
53406,794.9862497433362,12.2,Rising,11.830366132722931,,0,0
196694,794.9862905665791,12.1,Falling,11.912157567832434,,0,0
53706,794.9863213630606,12.5,Rising,11.864338018960252,,0,0
196394,794.9863621863035,11.9,Falling,11.71999673095763,,0,0
54006,794.986392982785,12.0,Rising,11.445034324942597,,0,0
196094,794.9864338060279,11.1,Falling,11.098832951944885,,0,0
54306,794.9864646025094,11.0,Rising,10.629718862373133,,0,0
195794,794.9865054257523,9.81,Falling,10.1136090225562,,0,0
54606,794.9865362222338,9.69,Rising,9.522896371363009,,0,0
54906,794.9866078419582,8.52,Rising,8.928738149721955,,0,0
195360,794.9866090356202,8.06,Falling,8.305086629617357,,0,0
55206,794.9866794616826,7.46,Rising,7.729241582216252,,0,0
195060,794.9866806553446,7.05,Falling,7.164524354364022,,0,0
55509,794.9867517976041,6.54,Rising,6.686410591696492,,0,0
194760,794.986752275069,6.28,Falling,6.2268061457991495,,0,0
194460,794.9868238947934,5.66,Falling,5.861209545603014,,0,0
55981,794.9868644793039,5.57,Rising,5.514727034978636,,0,0
194160,794.9868955145178,5.180000000000001,Falling,5.25847008826403,,0,0
56281,794.9869360990283,5.090000000000001,Rising,5.001091860084893,,0,0
193860,794.9869671342421,4.78,Falling,4.823641712978002,,0,0
56581,794.9870077187527,4.7,Rising,4.634867603791998,,0,0
193560,794.9870387539665,4.46,Falling,4.481722785223844,,0,0
56881,794.9870793384771,4.42,Rising,4.340127492644573,,0,0
193260,794.9871103736909,4.199999999999999,Falling,4.225361229159778,,0,0
57181,794.9871509582015,4.18,Rising,4.117368421052557,,0,0
192957,794.9871827096126,4.01,Falling,4.036560967636412,,0,0
57481,794.9872225779259,3.99,Rising,3.941444916639354,,0,0
192657,794.987254329337,3.84,Falling,3.873255966001894,,0,0
57781,794.9872941976503,3.83,Rising,3.799244851258515,,0,0
192357,794.9873259490614,3.71,Falling,3.7463157894736208,,0,0
58081,794.9873658173747,3.73,Rising,3.689944426283037,,0,0
192057,794.9873975687858,3.63,Falling,3.650349787512198,,0,0
58381,794.9874374370991,3.65,Rising,3.6094083033670548,,0,0
191757,794.9874691885102,3.5700000000000003,Falling,3.584393592677288,,0,0
58681,794.9875090568235,3.59,Rising,3.557933965348096,,0,0
191457,794.9875408082346,3.52,Falling,3.5468094148413956,,0,0
58981,794.9875806765479,3.5700000000000003,Rising,3.535612945406941,,0,0
191157,794.987612427959,3.51,Falling,3.5398234717227313,,0,0
59281,794.9876522962722,3.58,Rising,3.545429879045387,,0,0
190857,794.9876840476834,3.55,Falling,3.5661359921542464,,0,0
59581,794.9877239159965,3.62,Rising,3.5913108859103766,,0,0
190557,794.9877556674078,3.62,Falling,3.6328800261522867,,0,0
59881,794.9877955357209,3.7,Rising,3.6782151029747774,,0,0
190257,794.9878272871322,3.74,Falling,3.741301078783867,,0,0
60181,794.9878671554453,3.84,Rising,3.8134782608695157,,0,0
189957,794.9878989068566,3.91,Falling,3.8809447531872694,,0,0
60481,794.9879387751697,4.0600000000000005,Rising,3.977025171624667,,0,0
189657,794.987970526581,4.16,Falling,4.072827721477563,,0,0
60781,794.9880103948941,4.34,Rising,4.21228832951941,,0,0
189357,794.9880421463052,4.49,Falling,4.423559986923791,,0,0
61081,794.9880820146185,4.7,Rising,4.705220660346476,,0,0
189057,794.9881137660296,4.92,Falling,5.059705786204598,,0,0
61381,794.9881536343429,5.25,Rising,5.504089571755426,,0,0
188757,794.988185385754,5.57,Falling,6.01028440666879,,0,0
61681,794.9882252540673,5.98,Rising,6.582134684537365,,0,0
61981,794.9882968737917,6.86,Rising,7.212598888525585,,0,0
188166,794.9883264766112,7.359999999999999,Falling,7.8522883295193635,,0,0
187866,794.9883980963356,8.610000000000001,Falling,8.51182739457329,,0,0
62623,794.9884501400019,9.4,Rising,9.11904870872823,,0,0
187552,794.9884730583137,10.0,Falling,9.729875776397389,,0,0
62923,794.9885217597263,10.5,Rising,10.155478914677861,,0,0
187252,794.9885446780381,11.0,Falling,10.520640732265296,,0,0
63223,794.9885933794507,11.0,Rising,10.738211833932494,,0,0
186952,794.9886162977625,11.2,Falling,10.747149395227028,,0,0
63526,794.9886657153723,11.0,Rising,10.609078130107704,,0,0
186652,794.9886879174869,10.5,Falling,10.275799280810547,,0,0
63826,794.9887373350967,10.2,Rising,9.840068649885408,,0,0
186352,794.9887595372113,9.33,Falling,9.25664923177492,,0,0
64126,794.9888089548211,8.92,Rising,8.642340634194014,,0,0
185851,794.9888791421511,7.17,Falling,7.976155606407164,,0,0
64426,794.9888805745455,7.62,Rising,7.30910428244509,,0,0
185551,794.9889507618755,6.12,Falling,6.640813991500348,,0,0
185251,794.9890223815999,5.32,Falling,6.03275907159189,,0,0
65076,794.989035750615,5.41,Rising,5.4528048381822884,,0,0
184948,794.9890947175214,4.63,Falling,4.963030402092072,,0,0
65376,794.9891073703394,4.63,Rising,4.536469434455598,,0,0
184648,794.9891663372458,4.0600000000000005,Falling,4.178600849950866,,0,0
65690,794.9891823323176,4.04,Rising,3.897986270022793,,0,0
184348,794.9892379569702,3.63,Falling,3.6690683229812837,,0,0
65990,794.989253952042,3.66,Rising,3.50957175547557,,0,0
184048,794.9893095766946,3.31,Falling,3.315812356979334,,0,0
66290,794.9893255717664,3.35,Rising,3.227963386727623,,0,0
183748,794.989381196419,3.04,Falling,3.109267734553714,,0,0
66590,794.9893971914908,3.08,Rising,2.975008172605368,,0,0
183448,794.9894528161434,2.8200000000000003,Falling,2.8924844720496345,,0,0
66890,794.9894688112151,2.85,Rising,2.7845505067014833,,0,0
183148,794.9895244358678,2.67,Falling,2.718947368421002,,0,0
67190,794.9895404309395,2.7,Rising,2.636567505720776,,0,0
182848,794.9895960555922,2.54,Falling,2.581055900621071,,0,0
67490,794.9896120506639,2.57,Rising,2.5141811049362093,,0,0
182548,794.9896676753166,2.43,Falling,2.473223275580212,,0,0
67790,794.9896836703883,2.45,Rising,2.421670480549157,,0,0
182248,794.989739295041,2.36,Falling,2.3936155606406913,,0,0
68090,794.9897552901127,2.37,Rising,2.355420071918888,,0,0
181948,794.9898109147654,2.3,Falling,2.3368747956848255,,0,0
68390,794.9898269098371,2.4,Rising,2.3124387054592623,,0,0
181648,794.9898825344898,2.26,Falling,2.299094475318694,,0,0
68690,794.9898985295615,2.31,Rising,2.2861229159855787,,0,0
181348,794.9899541542142,2.25,Falling,2.278826413860703,,0,0
68990,794.9899701492859,2.3,Rising,2.2721118012422004,,0,0
181048,794.9900257739386,2.25,Falling,2.2714612618502428,,0,0
69290,794.9900417690103,2.31,Rising,2.271369728669465,,0,0
180748,794.990097393663,2.27,Falling,2.2768421052631242,,0,0
69590,794.9901133887347,2.33,Rising,2.288202026806112,,0,0
180448,794.9901690133873,2.31,Falling,2.302520431513534,,0,0
69890,794.9901850084591,2.32,Rising,2.323991500490324,,0,0
180148,794.9902406331117,2.37,Falling,2.3588721804510953,,0,0
70190,794.9902566281835,2.35,Rising,2.3969205622752217,,0,0
179848,794.9903122528361,2.47,Falling,2.4464367440339663,,0,0
70490,794.9903282479079,2.48,Rising,2.5062732919254342,,0,0
179548,794.9903838725605,2.61,Falling,2.5792219679633557,,0,0
70790,794.9903998676323,2.66,Rising,2.6717260542660686,,0,0
179248,794.9904554922849,2.81,Falling,2.7799346191565553,,0,0
71090,794.9904714873567,2.8600000000000003,Rising,2.9138117031709383,,0,0
178948,794.9905271120093,3.07,Falling,3.072680614579894,,0,0
71390,794.9905431070811,3.17,Rising,3.2522360248446844,,0,0
178648,794.9905987317337,3.4,Falling,3.4605622752533125,,0,0
71693,794.9906154430026,3.5700000000000003,Rising,3.6803236351748523,,0,0
178348,794.9906703514581,3.84,Falling,3.927015364498157,,0,0
71993,794.990687062727,4.0600000000000005,Rising,4.1695488721804015,,0,0
178048,794.9907419711824,4.4,Falling,4.424720496894355,,0,0
72293,794.9907586824514,4.58,Rising,4.654092840797585,,0,0
177746,794.9908140683717,4.95,Falling,4.870529584831578,,0,0
72593,794.9908303021758,5.090000000000001,Rising,5.044318404707351,,0,0
177446,794.990885688096,5.3,Falling,5.17561621444909,,0,0
72893,794.9909019219002,5.45,Rising,5.252929061784819,,0,0
177146,794.9909573078204,5.4,Falling,5.273628636809333,,0,0
73193,794.9909735416246,5.52,Rising,5.236639424648495,,0,0
176846,794.9910289275448,5.17,Falling,5.14139261196461,,0,0
73493,794.991045161349,5.21,Rising,4.996766917293148,,0,0
176546,794.9911005472692,4.71,Falling,4.805897352075758,,0,0
73793,794.9911167810734,4.66,Rising,4.587554756456276,,0,0
176246,794.9911721669936,4.18,Falling,4.338633540372591,,0,0
74093,794.9911884007978,4.04,Rising,4.087133050016267,,0,0
175946,794.991243786718,3.67,Falling,3.8291631252042397,,0,0
74393,794.9912600205222,3.52,Rising,3.5819385420071206,,0,0
175646,794.9913154064424,3.25,Falling,3.3545733899966623,,0,0
74693,794.9913316402466,3.1,Rising,3.1424877410917955,,0,0
175346,794.9913870261668,2.93,Falling,2.9696077149394617,,0,0
74993,794.991403259971,2.8,Rising,2.804498202026749,,0,0
175046,794.9914586458912,2.68,Falling,2.6808336057534605,,0,0
75293,794.9914748796954,2.56,Rising,2.558545276234012,,0,0
174746,794.9915302656156,2.48,Falling,2.471693363844345,,0,0
75593,794.9915464994198,2.39,Rising,2.3834226871526187,,0,0
174446,794.99160188534,2.32,Falling,2.3187577639751122,,0,0
75893,794.9916181191442,2.26,Rising,2.2533442301405273,,0,0
174146,794.9916735050643,2.21,Falling,2.2039293886890743,,0,0
76193,794.9916897388686,2.17,Rising,2.155008172605388,,0,0
173846,794.9917451247887,2.1100000000000003,Falling,2.11587119973844,,0,0
76493,794.991761358593,2.09,Rising,2.0795979078129747,,0,0
173546,794.9918167445131,2.05,Falling,2.050679960771459,,0,0
76793,794.9918329783173,2.04,Rising,2.0240830336710998,,0,0
173246,794.9918883642375,1.99,Falling,2.0019320039228172,,0,0
77093,794.9919045980417,2.0,Rising,1.982886564236646,,0,0
172946,794.9919599839619,1.95,Falling,1.9668682576004908,,0,0
77393,794.9919762177661,1.97,Rising,1.9529454069957184,,0,0
172646,794.9920316036863,1.93,Falling,1.9431578947368107,,0,0
77693,794.9920478374905,1.95,Rising,1.9353416149068015,,0,0
172346,794.9921032234107,1.92,Falling,1.93127165740435,,0,0
77993,794.9921194572149,1.94,Rising,1.926747303040179,,0,0
172046,794.9921748431351,1.91,Falling,1.926943445570418,,0,0
78293,794.9921910769393,1.94,Rising,1.925998692383102,,0,0
171746,794.9922464628595,1.92,Falling,1.929790781301049,,0,0
78593,794.9922626966637,1.94,Rising,1.9321314154952307,,0,0
171446,794.9923180825839,1.94,Falling,1.9394736842104972,,0,0
78893,794.9923343163881,1.96,Rising,1.9451193200391996,,0,0
171146,794.9923897023083,1.95,Falling,1.9538934292252077,,0,0
79193,794.9924059361125,1.97,Rising,1.9632167374958849,,0,0
170846,794.9924613220327,1.97,Falling,1.9755671788165774,,0,0
79495,794.9924780333017,2.0,Rising,1.9898103955540734,,0,0
170546,794.9925329417571,1.99,Falling,2.0069794050342957,,0,0
79795,794.9925496530261,2.04,Rising,2.0259235044131776,,0,0
170243,794.9926052776786,2.04,Falling,2.048528931023181,,0,0
80095,794.9926212727505,2.08,Rising,2.0739391958155964,,0,0
169943,794.992676897403,2.09,Falling,2.1014122262176884,,0,0
80395,794.9926928924749,2.13,Rising,2.1346387708401138,,0,0
169643,794.9927485171274,2.18,Falling,2.169624060150346,,0,0
80695,794.9927645121993,2.21,Rising,2.211866623079408,,0,0
169343,794.9928201368518,2.27,Falling,2.256472703497845,,0,0
80995,794.9928361319236,2.3,Rising,2.309846355017949,,0,0
169043,794.9928917565762,2.37,Falling,2.3693984962405703,,0,0
81295,794.992907751648,2.41,Rising,2.434396861719484,,0,0
168743,794.9929633763006,2.49,Falling,2.505439686171919,,0,0
81595,794.9929793713724,2.54,Rising,2.5801699901928394,,0,0
168443,794.993034996025,2.65,Falling,2.6595194508008793,,0,0
81895,794.9930509910968,2.7,Rising,2.7381137626675014,,0,0
168143,794.9931066157494,2.84,Falling,2.8180679960771107,,0,0
82195,794.9931226108212,2.88,Rising,2.8950735534488,,0,0
167843,794.9931782354738,3.02,Falling,2.968401438378514,,0,0
82495,794.9931942305456,3.05,Rising,3.0349068322980948,,0,0
167543,794.9932498551982,3.13,Falling,3.0927884929715157,,0,0
82795,794.99326585027,3.16,Rising,3.1421150702843628,,0,0
167243,794.9933214749226,3.22,Falling,3.181376266753796,,0,0
83095,794.9933374699943,3.24,Rising,3.213478260869519,,0,0
166943,794.993393094647,3.25,Falling,3.2348708728342137,,0,0
83395,794.9934090897187,3.27,Rising,3.2528865642366314,,0,0
166643,794.9934647143714,3.25,Falling,3.2622785223928914,,0,0
83695,794.9934807094431,3.27,Rising,3.2744622425628815,,0,0
166343,794.9935363340958,3.25,Falling,3.2804740111146953,,0,0
83995,794.9935523291675,3.28,Rising,3.2953710362863204,,0,0
166043,794.9936079538202,3.29,Falling,3.309071592023489,,0,0
84295,794.9936239488919,3.33,Rising,3.333484798953858,,0,0
165743,794.9936795735446,3.36,Falling,3.3599117358613446,,0,0
84595,794.9936955686163,3.39,Rising,3.400212487741044,,0,0
165443,794.993751193269,3.45,Falling,3.443520758417735,,0,0
84895,794.9937671883407,3.49,Rising,3.5015691402418607,,0,0
165143,794.9938228129934,3.5700000000000003,Falling,3.5632003922850126,,0,0
85195,794.9938388080651,3.62,Rising,3.640627656096714,,0,0
164843,794.9938944327178,3.74,Falling,3.719068322981317,,0,0
85495,794.9939104277895,3.8,Rising,3.814906832298086,,0,0
164543,794.9939660524421,3.94,Falling,3.909666557698544,,0,0
85795,794.9939820475139,4.0,Rising,4.0258875449492795,,0,0
164243,794.9940376721665,4.17,Falling,4.13797973193849,,0,0
86095,794.9940536672383,4.24,Rising,4.274043805165032,,0,0
163943,794.9941092918909,4.46,Falling,4.398940830336658,,0,0
86395,794.9941252869627,4.53,Rising,4.541500490356272,,0,0
163643,794.9941809116153,4.79,Falling,4.70312520431508,,0,0
86695,794.9941969066871,4.8500000000000005,Rising,4.881255312193471,,0,0
163343,794.9942525313397,5.17,Falling,5.046570774762938,,0,0
86998,794.9942692426087,5.23,Rising,5.256305982347117,,0,0
163040,794.9943248672613,5.609999999999999,Falling,5.492657731284677,,0,0
87298,794.994340862333,5.67,Rising,5.776554429552083,,0,0
162740,794.9943964869857,6.14,Falling,6.086328865642306,,0,0
87598,794.9944124820574,6.24,Rising,6.444622425629229,,0,0
87898,794.9944841017818,6.88,Rising,6.825462569467081,,0,0
162231,794.9945180017847,7.26,Falling,7.271167048054853,,0,0
88198,794.9945557215062,7.63,Rising,7.739303694017583,,0,0
161931,794.9945896215091,8.120000000000001,Falling,8.284789146779922,,0,0
161631,794.9946612412335,9.17,Falling,8.850317097090473,,0,0
88787,794.9946963348985,9.66,Rising,9.501745668519044,,0,0
161331,794.9947328609579,10.4,Falling,10.171091860084914,,0,0
89087,794.9947679546228,11.0,Rising,10.949568486433392,,0,0
161031,794.9948044806823,11.9,Falling,11.749852893102235,,0,0
89387,794.9948395743472,12.7,Rising,12.691252043151263,,0,0
160731,794.9948761004067,13.9,Falling,13.652069303693922,,0,0
89687,794.9949111940716,14.8,Rising,14.810382477933869,,0,0
160431,794.9949477201311,16.3,Falling,16.025864661654037,,0,0
89987,794.994982813796,17.4,Rising,17.470088264138504,,0,0
160131,794.9950193398555,19.3,Falling,19.047129780974068,,0,0
90287,794.9950544335204,20.8,Rising,20.963301732592235,,0,0
159831,794.9950909595799,23.3,Falling,23.11539718862361,,0,0
90587,794.9951260532448,25.2,Rising,25.696829029094335,,0,0
159531,794.9951625793043,28.4,Falling,28.617718208564728,,0,0
90887,794.9951976729692,30.800000000000004,Rising,32.03801896044439,,0,0
159231,794.9952341990287,35.1,Falling,35.94988558352377,,0,0
91187,794.9952692926936,38.1,Rising,40.27535142203304,,0,0
158931,794.9953058187531,43.6,Falling,45.086727688786794,,0,0
91487,794.995340912418,47.5,Rising,49.98630271330452,,0,0
158631,794.9953774384775,53.6,Falling,55.089310232101425,,0,0
91787,794.9954125321424,58.3,Rising,59.84318404707352,,0,0
158331,794.9954490582019,64.6,Falling,64.34615887544871,,0,0
92087,794.9954841518668,68.80000000000001,Rising,68.07338999673007,,0,0
158031,794.9955206779263,74.0,Falling,71.09388689113992,,0,0
92387,794.9955557715912,76.69999999999999,Rising,73.01556064073121,,0,0
157718,794.9955954011721,77.8,Falling,73.9398169336373,,0,0
92687,794.9956273913156,78.30000000000001,Rising,73.67786858450357,,0,0
157418,794.9956670208965,74.3,Falling,72.34674730303902,,0,0
92987,794.99569901104,73.0,Rising,69.95044132069182,,0,0
157118,794.9957386406209,65.8,Falling,66.6583524027448,,0,0
93287,794.9957706307644,63.2,Rising,62.58368747956731,,0,0
156818,794.9958102603453,55.2,Falling,57.9926119646932,,0,0
93587,794.9958422504887,52.2,Rising,53.07577639751443,,0,0
156518,794.9958818800696,45.0,Falling,48.084962406014,,0,0
93887,794.9959138702131,42.5,Rising,43.232853873814,,0,0
156218,794.995953499794,36.5,Falling,38.71372997711579,,0,0
94187,794.9959854899375,34.400000000000006,Rising,34.531153971885395,,0,0
155918,794.9960251195183,29.5,Falling,30.925727361882196,,0,0
94487,794.9960571096619,27.9,Rising,27.60578620464134,,0,0
155615,794.99609745544,24.0,Falling,24.921314154951954,,0,0
94787,794.9961287293863,23.0,Rising,22.41278195488664,,0,0
